item_id,outlet_id,title,url,published_at,word_count,fetch_method,topic,mip_share,logos,ethos,pathos,d,justification,model,prompt_version,cost_usd,text_truncated
f82bb26d4b9f9403,cnn,2026-09-03 / segment / 01,https://transcripts.cnn.com/show/cnc/date/2026-09-03/segment/01,2026-09-03T00:00:00+00:00,3096,transcript_page,crime,0.010000,4,6,8,18,"Mostly a multi-story news broadcast: vivid, emotional coverage of Minneapolis mass shooting with eyewitness and official quotes, plus segments on midterms, murder trial, and NBA. Sourced with named officials and correspondents, some balance, but limited deep analysis; heavy emotional language around shooting dominates.",claude-sonnet-5,score_v1,0.019822,0
a54c36f074e89d9a,cnn,2026-09-03 / segment / 02,https://transcripts.cnn.com/show/cnc/date/2026-09-03/segment/02,2026-09-03T00:00:00+00:00,4769,transcript_page,government_leadership,0.250000,4,5,4,13,"A multi-segment news transcript covering politics, war reporting, vaccine guidance, and human interest stories. Includes named expert interviews (Dozier, Offit, Harden) with reasoning, but coverage is broad and shallow across topics rather than deeply evidenced on one. Moderate emotional coloring from war, tragedy, and celebrity segments.",claude-sonnet-5,score_v1,0.026164,0
3b9e18fe6d0d952c,cnn,2026-09-03 / segment / 03,https://transcripts.cnn.com/show/cnc/date/2026-09-03/segment/03,2026-09-03T00:00:00+00:00,3504,transcript_page,government_leadership,0.250000,2,4,6,12,"A multi-segment news broadcast covering AI in schools, Trump's midterm strategy, a murder trial, a mass shooting, and a naval deployment. Named sources and correspondents provide some credibility, but little deep analysis; emotional elements (shooting, grieving mother) add pathos. Scored as roundup dominated by political/leadership framing.”",claude-sonnet-5,score_v1,0.021266,0
02ee5ea4c4ef3a5e,cnn,2026-09-03 / segment / 19,https://transcripts.cnn.com/show/cnr/date/2026-09-03/segment/19,2026-09-03T00:00:00+00:00,6312,transcript_page,foreign_policy_wars,0.120000,6,6,4,16,"A multi-topic news broadcast dominated by Iran/US conflict, Hegseth controversy, and other global stories. Includes named officials, correspondents, expert interviews, and quoted sources, giving reasonable evidentiary grounding, though depth per topic is limited and framing occasionally one-sided.",claude-sonnet-5,score_v1,0.031526,1
9fa9c6274e03bc01,democracy_now,"Gloria Steinem, Feminist Icon & Ms. Magazine Co-Founder, Dies at 92",https://www.democracynow.org/2026/9/3/gloria_steinem,2026-09-03T00:00:00+00:00,1053,transcript_page,other,0.070000,3,5,7,15,"An obituary/tribute to Gloria Steinem combining biographical facts with archival speech excerpts. Mostly narrative and emotional recollection rather than argument; sourced from named speaker and dated events, but one-sided tribute with no counter-perspective or critical scrutiny of her legacy.",claude-sonnet-5,score_v1,0.011898,0
f6eaeebdfa1e2662,democracy_now,“Catastrophic Failure”: Postal Service Whistleblower Warns Mail-In Voting Rules Could Derail Election,https://www.democracynow.org/2026/9/3/usps_whistleblower,2026-09-03T00:00:00+00:00,2395,transcript_page,democracy_elections,0.060000,6,5,7,18,"Interview provides detailed technical explanation, whistleblower complaint, ProPublica corroboration, and Senator quotes, but relies heavily on anonymous source and one-sided framing against administration without direct rebuttal. Emotionally charged language like 'catastrophic failure,' 'sabotage,' and 'allergy to voting rights' heightens intensity.",claude-sonnet-5,score_v1,0.011146,0
7bbea03d45cbaf63,democracy_now,“Modern-Day Poll Tax”: Dem. Texas Commissioner Slams GOP Vote to Close 92 Polling Sites,https://www.democracynow.org/2026/9/3/voting_rights_tarrant_county_texas,2026-09-03T00:00:00+00:00,1890,transcript_page,democracy_elections,0.060000,4,5,8,17,"One-sided interview with Democratic commissioner and activists opposing GOP poll closures; includes named officials, quotes from both sides (O'Hare's blunt admission), but no independent data on turnout impact. Emotional language ('poll tax,' 'indignity,' 'anti-American') drives much of the piece.",claude-sonnet-5,score_v1,0.009528,0
324bf521ce17a4ea,democracy_now,"AI Could Revolutionize Medicine, But Humans Must Be in Charge: Researcher Shreya Johri",https://www.democracynow.org/2026/9/3/ai_in_medicine,2026-09-03T00:00:00+00:00,2289,transcript_page,ai_technology,0.010000,8,8,2,18,"Expert interview with specific studies (Swedish mammogram trial, London brain surgery), statistics, and nuanced discussion of risks/limits. Named credentialed source, transparent framing. Mostly factual, calm tone with minimal emotional language beyond mild enthusiasm.",claude-sonnet-5,score_v1,0.010450,0
a5d33428a58930d3,fox_news,Houston Uber driver caught in wild police chase as officers seen on dashcam video hitching a ride in his car,https://www.foxnews.com/us/houston-uber-driver-caught-wild-police-chase-officers-seen-dashcam-video-hitching-ride-his-car,2026-08-24T00:00:00+00:00,488,transcript_page,crime,0.010000,3,5,5,13,"Anecdotal news story with dashcam video, named driver quoted, police confirmation via KPRC, but no deeper analysis or counterarguments. Mildly emotional due to novelty and 'wild chase' framing, but mostly straightforward reporting.",claude-sonnet-5,score_v1,0.003806,0
ae922313c32d4b18,fox_news,Helicopter rescue crew caught on camera saving 2 climbers trapped along popular California beach cliff,https://www.foxnews.com/us/helicopter-rescue-crew-caught-camera-saving-climbers-trapped-popular-california-beach-cliff,2026-08-25T00:00:00+00:00,387,transcript_page,other,0.070000,3,4,5,12,"Straightforward factual account of a rescue with agency quotes and social media reactions; no real debate or evidence weighing needed. Minimal sourcing beyond CHP statement. Some emotional color from dramatic rescue description and public comments, but largely factual reporting.",claude-sonnet-5,score_v1,0.003616,0
ea91656abe3af8de,fox_news,Wounded Marines relive the harrowing Kabul airport attack in explosive new Fox Nation documentary,https://www.foxnews.com/media/wounded-marines-relive-harrowing-kabul-airport-attack-explosive-fox-nation-documentary,2026-08-26T00:00:00+00:00,572,transcript_page,,,,,,,,,,,
92eae3ca39d3ce56,fox_news,Blue state governor candidate claims he ‘met Satan in person’ in resurfaced podcast episode,https://www.foxnews.com/politics/blue-state-governor-candidate-claims-met-satan-person-resurfaced-podcast-episode,2026-09-03T17:29:59+00:00,448,rss_fulltext,,,,,,,,,,,
aea2b7d84df4d745,pbs_newshour,newshour / video / compass-points,https://www.pbs.org/newshour/video/compass-points,2026-08-28T00:00:00+00:00,754,transcript_page,,,,,,,,,,,
